ass_ln,stn_no,dt,shift,tgt_prod,act_prod,eff_perc,def_unit,min_threshold,max_cap,stock_avl,downtime_hrs,stn_status,shortages,part_name
Line D,3,1/5/2025,Morning,79,79,100,0,36,171,142,0,Active,0,Air Filter
Line A,1,1/6/2025,Morning,127,43,33.9,2,21,191,43,3.8,Shortage Pause,87,Engine Oil Filter
Line A,2,1/6/2025,Night,141,0,0,0,25,167,0,2.3,Shortage Pause,144,Air Filter
Line A,3,1/6/2025,Night,87,81,93.1,1,29,150,89,0,Active,0,Spark Plug Set
Line B,1,1/6/2025,Morning,102,96,94.1,2,40,232,122,0,Active,0,Brake Pad Set
Line B,2,1/6/2025,Morning,103,62,60.2,2,49,208,62,1.6,Shortage Pause,38,Brake Disc
Line B,3,1/6/2025,Morning,69,37,53.6,3,36,157,37,1.3,Shortage Pause,35,Shock Absorber
Line C,1,1/6/2025,Night,10,0,0,0,28,185,128,1.4,Paused,0,Timing Belt
Line C,2,1/6/2025,Morning,90,7,7.8,1,20,199,7,4.9,Shortage Pause,74,Battery
Line C,3,1/6/2025,Night,121,131,108.3,1,47,176,134,0,Active,0,Headlight Bulb
Line D,1,1/6/2025,Morning,105,71,67.6,5,47,161,71,1.5,Shortage Pause,41,Windshield Wiper
Line D,2,1/6/2025,Morning,90,92,102.2,1,42,189,100,0,Active,0,Engine Oil Filter
Line D,3,1/6/2025,Night,76,63,82.9,1,36,171,63,0.6,Shortage Pause,16,Air Filter
Line A,1,1/7/2025,Morning,126,126,100,0,21,191,143,0,Active,0,Engine Oil Filter
Line A,2,1/7/2025,Morning,138,102,73.9,6,25,167,102,1,Shortage Pause,24,Air Filter
Line A,3,1/7/2025,Night,114,8,7,1,29,150,8,4.5,Shortage Pause,120,Spark Plug Set
Line B,1,1/7/2025,Night,103,109,105.8,1,40,232,172,0,Active,0,Brake Pad Set
Line B,2,1/7/2025,Morning,122,0,0,0,49,208,0,3.2,Shortage Pause,117,Brake Disc
Line B,3,1/7/2025,Morning,78,75,96.2,0,36,157,92,0,Active,0,Shock Absorber
Line C,1,1/7/2025,Night,104,102,98.1,0,28,185,128,0,Active,0,Timing Belt
Line C,2,1/7/2025,Night,124,109,87.9,0,20,199,159,0,Active,0,Battery
Line C,3,1/7/2025,Night,133,3,2.3,1,47,176,3,3.8,Shortage Pause,145,Headlight Bulb
Line D,1,1/7/2025,Morning,108,69,63.9,3,47,161,69,1.2,Shortage Pause,48,Windshield Wiper
Line D,2,1/7/2025,Morning,6,0,0,0,42,189,96,1.1,Paused,0,Engine Oil Filter
Line D,3,1/7/2025,Night,91,84,92.3,2,36,171,84,0.2,Shortage Pause,9,Air Filter
Line A,1,1/8/2025,Morning,115,124,107.8,1,21,191,191,0,Active,0,Engine Oil Filter
Line A,2,1/8/2025,Night,162,105,64.8,4,25,167,105,2.3,Shortage Pause,72,Air Filter
Line A,3,1/8/2025,Morning,96,94,97.9,1,29,150,129,0,Active,0,Spark Plug Set
Line B,1,1/8/2025,Morning,126,63,50,3,40,232,63,1.4,Shortage Pause,66,Brake Pad Set
Line B,2,1/8/2025,Night,106,107,100.9,2,49,208,154,0,Active,0,Brake Disc
Line B,3,1/8/2025,Night,88,87,98.9,1,36,157,101,0.3,Active,0,Shock Absorber
Line C,1,1/8/2025,Morning,145,127,87.6,3,28,185,165,0,Active,0,Timing Belt
Line C,2,1/8/2025,Night,91,50,54.9,0,20,199,50,1,Shortage Pause,37,Battery
Line C,3,1/8/2025,Night,121,100,82.6,4,47,176,100,0.8,Shortage Pause,24,Headlight Bulb
Line D,1,1/8/2025,Morning,105,0,0,0,47,161,0,3.3,Shortage Pause,93,Windshield Wiper
Line D,2,1/8/2025,Night,81,86,106.2,0,42,189,96,0,Active,0,Engine Oil Filter
Line D,3,1/8/2025,Night,83,89,107.2,2,36,171,89,0.1,Shortage Pause,1,Air Filter
Line A,1,1/9/2025,Morning,98,67,68.4,1,21,191,67,1.8,Shortage Pause,29,Engine Oil Filter
Line A,2,1/9/2025,Night,131,0,0,0,25,167,0,5.1,Shortage Pause,137,Air Filter
Line A,3,1/9/2025,Morning,92,35,38,0,29,150,35,2.7,Shortage Pause,66,Spark Plug Set
Line B,1,1/9/2025,Night,85,89,104.7,0,40,232,190,0.2,Active,0,Brake Pad Set
Line B,2,1/9/2025,Night,122,113,92.6,1,49,208,194,0,Active,0,Brake Disc
Line B,3,1/9/2025,Morning,8,0,0,0,36,157,14,0.6,Paused,0,Shock Absorber
Line C,1,1/9/2025,Night,147,38,25.9,2,28,185,38,3.8,Shortage Pause,78,Timing Belt
Line C,2,1/9/2025,Morning,94,98,104.3,1,20,199,169,0,Active,0,Battery
Line C,3,1/9/2025,Morning,10,0,0,0,47,176,122,1.5,Paused,0,Headlight Bulb
Line D,1,1/9/2025,Night,114,112,98.2,1,47,161,112,0.2,Shortage Pause,6,Windshield Wiper
Line D,2,1/9/2025,Morning,8,0,0,0,42,189,10,1.4,Paused,0,Engine Oil Filter
Line D,3,1/9/2025,Morning,79,0,0,0,36,171,0,2.8,Shortage Pause,83,Air Filter
Line A,1,1/10/2025,Morning,137,0,0,0,21,191,0,4.5,Shortage Pause,144,Engine Oil Filter
Line A,2,1/10/2025,Night,138,0,0,0,25,167,0,4.5,Shortage Pause,150,Air Filter
Line A,3,1/10/2025,Night,91,85,93.4,0,29,150,122,0,Active,0,Spark Plug Set
Line B,1,1/10/2025,Night,99,95,96,0,40,232,101,0,Active,0,Brake Pad Set
Line B,2,1/10/2025,Night,112,81,72.3,5,49,208,81,0.8,Shortage Pause,20,Brake Disc
Line B,3,1/10/2025,Night,78,73,93.6,0,36,157,113,0,Active,0,Shock Absorber
Line C,1,1/10/2025,Night,136,141,103.7,2,28,185,163,0,Active,0,Timing Belt
Line C,2,1/10/2025,Night,77,71,92.2,0,20,199,71,0.3,Shortage Pause,9,Battery
Line C,3,1/10/2025,Morning,129,108,83.7,0,47,176,122,0,Active,0,Headlight Bulb
Line D,1,1/10/2025,Morning,101,72,71.3,3,47,161,72,1.4,Shortage Pause,34,Windshield Wiper
Line D,2,1/10/2025,Morning,93,10,10.8,0,42,189,10,4.9,Shortage Pause,77,Engine Oil Filter
Line D,3,1/10/2025,Morning,86,97,112.8,0,36,171,97,0.2,Shortage Pause,3,Air Filter
Line A,1,1/11/2025,Night,125,0,0,0,21,191,0,4.6,Shortage Pause,121,Engine Oil Filter
Line A,2,1/11/2025,Morning,149,0,0,0,25,167,0,5.9,Shortage Pause,161,Air Filter
Line A,3,1/11/2025,Night,76,37,48.7,1,29,150,37,1.5,Shortage Pause,44,Spark Plug Set
Line B,1,1/11/2025,Morning,106,104,98.1,2,40,232,200,0,Active,0,Brake Pad Set
Line B,2,1/11/2025,Night,95,0,0,0,49,208,0,3.1,Shortage Pause,88,Brake Disc
Line B,3,1/11/2025,Night,71,40,56.3,3,36,157,40,1.1,Shortage Pause,34,Shock Absorber
Line C,1,1/11/2025,Night,146,131,89.7,0,28,185,131,0.3,Shortage Pause,8,Timing Belt
Line C,2,1/11/2025,Night,84,0,0,0,20,199,0,5.9,Shortage Pause,84,Battery
Line C,3,1/11/2025,Morning,119,112,94.1,1,47,176,116,0,Active,0,Headlight Bulb
Line D,1,1/11/2025,Night,10,0,0,0,47,161,0,0.8,Paused,0,Windshield Wiper
Line D,2,1/11/2025,Night,67,69,103,0,42,189,96,0,Active,0,Engine Oil Filter
Line D,3,1/11/2025,Night,83,86,103.6,1,36,171,86,0,Shortage Pause,1,Air Filter
Line A,1,1/12/2025,Night,124,106,85.5,0,21,191,106,0.4,Shortage Pause,21,Engine Oil Filter
Line A,2,1/12/2025,Morning,150,136,90.7,1,25,167,136,0.1,Shortage Pause,2,Air Filter
Line A,3,1/12/2025,Morning,95,79,83.2,1,29,150,122,0,Active,0,Spark Plug Set
Line B,1,1/12/2025,Morning,93,88,94.6,3,40,232,96,0,Active,0,Brake Pad Set
Line B,2,1/12/2025,Morning,102,109,106.9,2,49,208,147,0,Active,0,Brake Disc
Line B,3,1/12/2025,Night,70,78,111.4,0,36,157,127,0,Active,0,Shock Absorber
Line C,1,1/12/2025,Night,147,157,106.8,2,28,185,169,0,Active,0,Timing Belt
Line C,2,1/12/2025,Morning,9,0,0,0,20,199,149,1.6,Paused,0,Battery
Line C,3,1/12/2025,Night,126,4,3.2,0,47,176,4,4.1,Shortage Pause,127,Headlight Bulb
Line D,1,1/12/2025,Night,118,107,90.7,2,47,161,107,0.5,Shortage Pause,11,Windshield Wiper
Line D,2,1/12/2025,Night,92,72,78.3,1,42,189,159,0.5,Active,0,Engine Oil Filter
Line D,3,1/12/2025,Morning,75,0,0,0,36,171,0,5,Shortage Pause,69,Air Filter
Line A,1,1/13/2025,Morning,97,0,0,0,21,191,0,3,Shortage Pause,104,Engine Oil Filter
Line A,2,1/13/2025,Night,107,105,98.1,0,25,167,105,0.2,Shortage Pause,8,Air Filter
Line A,3,1/13/2025,Morning,90,43,47.8,1,29,150,43,2.1,Shortage Pause,47,Spark Plug Set
Line B,1,1/13/2025,Night,93,94,101.1,1,40,232,144,0,Active,0,Brake Pad Set
Line B,2,1/13/2025,Morning,118,38,32.2,2,49,208,38,3.1,Shortage Pause,94,Brake Disc
Line B,3,1/13/2025,Morning,66,49,74.2,1,36,157,49,0.8,Shortage Pause,13,Shock Absorber
Line C,1,1/13/2025,Night,150,139,92.7,3,28,185,161,0,Active,0,Timing Belt
Line C,2,1/13/2025,Morning,100,109,109,3,20,199,149,0.4,Active,0,Battery
Line C,3,1/13/2025,Night,112,97,86.6,2,47,176,119,0,Active,0,Headlight Bulb
Line D,1,1/13/2025,Morning,108,100,92.6,1,47,161,100,0.3,Shortage Pause,17,Windshield Wiper
Line D,2,1/13/2025,Morning,92,87,94.6,2,42,189,87,0.2,Shortage Pause,5,Engine Oil Filter
Line D,3,1/13/2025,Morning,88,75,85.2,1,36,171,118,0,Active,0,Air Filter
Line A,1,1/14/2025,Morning,94,81,86.2,0,21,191,151,0,Active,0,Engine Oil Filter
Line A,2,1/14/2025,Night,138,144,104.3,1,25,167,156,0,Active,0,Air Filter
Line A,3,1/14/2025,Morning,97,98,101,1,29,150,131,0,Active,0,Spark Plug Set
Line B,1,1/14/2025,Night,104,50,48.1,1,40,232,50,3.5,Shortage Pause,69,Brake Pad Set
Line B,2,1/14/2025,Night,113,122,108,0,49,208,135,0,Active,0,Brake Disc
Line B,3,1/14/2025,Morning,10,0,0,0,36,157,0,0.8,Paused,0,Shock Absorber
Line C,1,1/14/2025,Morning,146,22,15.1,1,28,185,22,3,Shortage Pause,120,Timing Belt
Line C,2,1/14/2025,Morning,105,40,38.1,6,20,199,40,3.8,Shortage Pause,70,Battery
Line C,3,1/14/2025,Morning,113,22,19.5,0,47,176,22,2.6,Shortage Pause,87,Headlight Bulb
Line D,1,1/14/2025,Morning,111,98,88.3,0,47,161,98,0.5,Shortage Pause,9,Windshield Wiper
Line D,2,1/14/2025,Night,74,76,102.7,0,42,189,142,0,Active,0,Engine Oil Filter
Line D,3,1/14/2025,Night,86,43,50,0,36,171,43,2.6,Shortage Pause,41,Air Filter
Line A,1,1/15/2025,Morning,123,70,56.9,3,21,191,70,1.1,Shortage Pause,59,Engine Oil Filter
Line A,2,1/15/2025,Morning,152,124,81.6,2,25,167,124,1.3,Shortage Pause,39,Air Filter
Line A,3,1/15/2025,Morning,8,0,0,0,29,150,33,1.3,Paused,0,Spark Plug Set
Line B,1,1/15/2025,Night,114,119,104.4,0,40,232,209,0,Active,0,Brake Pad Set
Line B,2,1/15/2025,Morning,109,115,105.5,0,49,208,146,0,Active,0,Brake Disc
Line B,3,1/15/2025,Morning,82,75,91.5,1,36,157,75,0.2,Shortage Pause,7,Shock Absorber
Line C,1,1/15/2025,Morning,140,101,72.1,4,28,185,101,1.3,Shortage Pause,36,Timing Belt
Line C,2,1/15/2025,Morning,94,0,0,0,20,199,0,5.8,Shortage Pause,89,Battery
Line C,3,1/15/2025,Morning,101,81,80.2,1,47,176,81,0.3,Shortage Pause,9,Headlight Bulb
Line D,1,1/15/2025,Night,103,69,67,3,47,161,69,0.8,Shortage Pause,30,Windshield Wiper
Line D,2,1/15/2025,Morning,77,66,85.7,2,42,189,66,0.3,Shortage Pause,4,Engine Oil Filter
Line D,3,1/15/2025,Morning,69,67,97.1,0,36,171,122,0,Active,0,Air Filter
Line A,1,1/16/2025,Night,114,108,94.7,1,21,191,124,0,Active,0,Engine Oil Filter
Line A,2,1/16/2025,Night,170,0,0,0,25,167,0,5.4,Shortage Pause,161,Air Filter
Line A,3,1/16/2025,Night,89,33,37.1,1,29,150,33,2.7,Shortage Pause,59,Spark Plug Set
Line B,1,1/16/2025,Night,106,90,84.9,1,40,232,90,0.8,Shortage Pause,19,Brake Pad Set
Line B,2,1/16/2025,Night,109,31,28.4,3,49,208,31,4,Shortage Pause,78,Brake Disc
Line B,3,1/16/2025,Morning,77,61,79.2,1,36,157,82,0,Active,0,Shock Absorber
Line C,1,1/16/2025,Night,134,0,0,0,28,185,0,2,Shortage Pause,139,Timing Belt
Line C,2,1/16/2025,Night,92,89,96.7,0,20,199,124,0.4,Active,0,Battery
Line C,3,1/16/2025,Morning,118,88,74.6,1,47,176,88,1.3,Shortage Pause,34,Headlight Bulb
Line D,1,1/16/2025,Morning,92,99,107.6,0,47,161,99,0.5,Shortage Pause,12,Windshield Wiper
Line D,2,1/16/2025,Morning,62,50,80.6,1,42,189,110,0,Active,0,Engine Oil Filter
Line D,3,1/16/2025,Night,82,55,67.1,1,36,171,55,1.7,Shortage Pause,24,Air Filter
Line A,1,1/17/2025,Night,114,127,111.4,2,21,191,185,0,Active,0,Engine Oil Filter
Line A,2,1/17/2025,Night,146,123,84.2,2,25,167,127,0,Active,0,Air Filter
Line A,3,1/17/2025,Morning,8,0,0,0,29,150,86,0.8,Paused,0,Spark Plug Set
Line B,1,1/17/2025,Night,103,0,0,0,40,232,0,4.3,Shortage Pause,98,Brake Pad Set
Line B,2,1/17/2025,Morning,115,95,82.6,2,49,208,95,1,Shortage Pause,21,Brake Disc
Line B,3,1/17/2025,Morning,76,21,27.6,0,36,157,21,2.1,Shortage Pause,57,Shock Absorber
Line C,1,1/17/2025,Morning,154,118,76.6,7,28,185,118,1,Shortage Pause,35,Timing Belt
Line C,2,1/17/2025,Morning,77,35,45.5,5,20,199,35,1.3,Shortage Pause,36,Battery
Line C,3,1/17/2025,Night,110,103,93.6,1,47,176,139,0,Active,0,Headlight Bulb
Line D,1,1/17/2025,Morning,88,81,92,0,47,161,82,0,Active,0,Windshield Wiper
Line D,2,1/17/2025,Morning,73,60,82.2,1,42,189,60,1,Shortage Pause,14,Engine Oil Filter
Line D,3,1/17/2025,Morning,82,75,91.5,1,36,171,88,0,Active,0,Air Filter
Line A,1,1/18/2025,Morning,129,58,45,2,21,191,58,2,Shortage Pause,59,Engine Oil Filter
Line A,2,1/18/2025,Night,144,104,72.2,6,25,167,104,0.9,Shortage Pause,50,Air Filter
Line A,3,1/18/2025,Morning,83,86,103.6,1,29,150,86,0.3,Shortage Pause,6,Spark Plug Set
Line B,1,1/18/2025,Night,87,90,103.4,1,40,232,142,0,Active,0,Brake Pad Set
Line B,2,1/18/2025,Night,105,0,0,0,49,208,0,5,Shortage Pause,109,Brake Disc
Line B,3,1/18/2025,Night,86,69,80.2,0,36,157,112,0,Active,0,Shock Absorber
Line C,1,1/18/2025,Morning,176,123,69.9,2,28,185,123,1.4,Shortage Pause,49,Timing Belt
Line C,2,1/18/2025,Night,93,0,0,0,20,199,0,4.4,Shortage Pause,102,Battery
Line C,3,1/18/2025,Morning,129,130,100.8,2,47,176,139,0.2,Active,0,Headlight Bulb
Line D,1,1/18/2025,Morning,100,1,1,0,47,161,1,4,Shortage Pause,93,Windshield Wiper
Line D,2,1/18/2025,Morning,83,84,101.2,0,42,189,110,0.3,Active,0,Engine Oil Filter
Line D,3,1/18/2025,Night,77,63,81.8,2,36,171,109,0,Active,0,Air Filter
Line A,1,1/19/2025,Night,125,133,106.4,1,21,191,182,0,Active,0,Engine Oil Filter
Line A,2,1/19/2025,Morning,134,136,101.5,2,25,167,155,0,Active,0,Air Filter
Line A,3,1/19/2025,Night,90,0,0,0,29,150,0,2.7,Shortage Pause,99,Spark Plug Set
Line B,1,1/19/2025,Night,93,52,55.9,2,40,232,52,2.3,Shortage Pause,34,Brake Pad Set
Line B,2,1/19/2025,Morning,95,102,107.4,1,49,208,103,0,Active,0,Brake Disc
Line B,3,1/19/2025,Night,83,43,51.8,1,36,157,43,2.6,Shortage Pause,54,Shock Absorber
Line C,1,1/19/2025,Night,125,114,91.2,0,28,185,114,0.2,Shortage Pause,12,Timing Belt
Line C,2,1/19/2025,Morning,85,93,109.4,0,20,199,161,0,Active,0,Battery
Line C,3,1/19/2025,Morning,123,107,87,2,47,176,107,0.7,Shortage Pause,26,Headlight Bulb
Line D,1,1/19/2025,Night,123,95,77.2,3,47,161,95,1.5,Shortage Pause,35,Windshield Wiper
Line D,2,1/19/2025,Morning,62,26,41.9,3,42,189,26,2.5,Shortage Pause,49,Engine Oil Filter
Line D,3,1/19/2025,Morning,81,46,56.8,0,36,171,46,1.2,Shortage Pause,34,Air Filter
Line A,1,1/20/2025,Morning,131,49,37.4,1,21,191,49,2.1,Shortage Pause,86,Engine Oil Filter
Line A,2,1/20/2025,Morning,135,130,96.3,0,25,167,135,0,Active,0,Air Filter
Line A,3,1/20/2025,Night,85,83,97.6,0,29,150,88,0.3,Active,0,Spark Plug Set
Line B,1,1/20/2025,Morning,105,112,106.7,0,40,232,209,0,Active,0,Brake Pad Set
Line B,2,1/20/2025,Night,125,114,91.2,0,49,208,167,0.2,Active,0,Brake Disc
Line B,3,1/20/2025,Morning,68,69,101.5,1,36,157,80,0,Active,0,Shock Absorber
Line C,1,1/20/2025,Night,152,124,81.6,4,28,185,124,1.3,Shortage Pause,45,Timing Belt
Line C,2,1/20/2025,Night,85,68,80,0,20,199,68,0.7,Shortage Pause,22,Battery
Line C,3,1/20/2025,Morning,100,106,106,1,47,176,115,0,Active,0,Headlight Bulb
Line D,1,1/20/2025,Night,95,81,85.3,1,47,161,110,0,Active,0,Windshield Wiper
Line D,2,1/20/2025,Morning,88,0,0,0,42,189,0,2.7,Shortage Pause,87,Engine Oil Filter
Line D,3,1/20/2025,Night,75,90,120,1,36,171,109,0,Active,0,Air Filter
Line A,1,1/21/2025,Night,123,125,101.6,1,21,191,150,0,Active,0,Engine Oil Filter
Line A,2,1/21/2025,Night,163,130,79.8,3,25,167,130,1.3,Shortage Pause,57,Air Filter
Line A,3,1/21/2025,Morning,87,81,93.1,2,29,150,131,0,Active,0,Spark Plug Set
Line B,1,1/21/2025,Night,115,97,84.3,2,40,232,97,0.7,Shortage Pause,19,Brake Pad Set
Line B,2,1/21/2025,Night,110,53,48.2,1,49,208,53,1.1,Shortage Pause,51,Brake Disc
Line B,3,1/21/2025,Night,81,75,92.6,0,36,157,128,0,Active,0,Shock Absorber
Line C,1,1/21/2025,Night,151,113,74.8,3,28,185,113,0.7,Shortage Pause,25,Timing Belt
Line C,2,1/21/2025,Morning,102,101,99,1,20,199,195,0,Active,0,Battery
Line C,3,1/21/2025,Night,134,136,101.5,1,47,176,148,0.2,Active,0,Headlight Bulb
Line D,1,1/21/2025,Morning,109,29,26.6,1,47,161,29,1.5,Shortage Pause,86,Windshield Wiper
Line D,2,1/21/2025,Night,9,0,0,0,42,189,112,1.8,Paused,0,Engine Oil Filter
Line D,3,1/21/2025,Morning,70,70,100,0,36,171,145,0,Active,0,Air Filter
Line A,1,1/22/2025,Night,140,25,17.9,4,21,191,25,1.7,Shortage Pause,110,Engine Oil Filter
Line A,2,1/22/2025,Night,155,92,59.4,5,25,167,92,2.1,Shortage Pause,60,Air Filter
Line A,3,1/22/2025,Morning,84,50,59.5,1,29,150,50,0.8,Shortage Pause,32,Spark Plug Set
Line B,1,1/22/2025,Night,91,86,94.5,1,40,232,187,0,Active,0,Brake Pad Set
Line B,2,1/22/2025,Morning,108,113,104.6,1,49,208,161,0,Active,0,Brake Disc
Line B,3,1/22/2025,Morning,73,53,72.6,4,36,157,53,1,Shortage Pause,35,Shock Absorber
Line C,1,1/22/2025,Morning,132,0,0,0,28,185,0,2.8,Shortage Pause,139,Timing Belt
Line C,2,1/22/2025,Night,73,76,104.1,0,20,199,94,0,Active,0,Battery
Line C,3,1/22/2025,Night,127,113,89,0,47,176,134,0,Active,0,Headlight Bulb
Line D,1,1/22/2025,Morning,110,84,76.4,1,47,161,84,1.2,Shortage Pause,28,Windshield Wiper
Line D,2,1/22/2025,Morning,86,90,104.7,2,42,189,112,0,Active,0,Engine Oil Filter
Line D,3,1/22/2025,Morning,86,75,87.2,0,36,171,75,0.2,Shortage Pause,6,Air Filter
Line A,1,1/23/2025,Night,141,142,100.7,2,21,191,147,0,Active,0,Engine Oil Filter
Line A,2,1/23/2025,Morning,148,119,80.4,2,25,167,119,1.2,Shortage Pause,38,Air Filter
Line A,3,1/23/2025,Night,70,67,95.7,2,29,150,100,0,Active,0,Spark Plug Set
Line B,1,1/23/2025,Morning,92,97,105.4,2,40,232,101,0,Active,0,Brake Pad Set
Line B,2,1/23/2025,Morning,109,102,93.6,2,49,208,197,0,Active,0,Brake Disc
Line B,3,1/23/2025,Night,88,84,95.5,1,36,157,106,0,Active,0,Shock Absorber
Line C,1,1/23/2025,Morning,152,135,88.8,2,28,185,158,0,Active,0,Timing Belt
Line C,2,1/23/2025,Morning,93,18,19.4,1,20,199,18,4,Shortage Pause,78,Battery
Line C,3,1/23/2025,Night,115,21,18.3,0,47,176,21,2.3,Shortage Pause,89,Headlight Bulb
